day,hours,batch-code,batch,cno,title,credits,fac
2TUE,H2,07-2,MSc (DS)-II,IT634,Information Systems Security,3-0-2-4,MLD
2TUE,H3,01-2,B Tech (ICT n CS)-II,HM216,"Science, Technology, Society",3-0-0-3,SJ
2TUE,H3,01-3,B Tech (ICT n CS)-III,EL203,Embedded Hardware Design,3-0-3-4.5,TKM
2TUE,H3,01-4,B Tech (ICT n CS)-IV,SC322,Introduction to Graph Theory,3-0-0-3,VS
2TUE,H3,01-4,B Tech (ICT n CS)-IV,SC421,Introduction to Modern Algebra,3-0-0-3,GD
2TUE,H3,01-4,B Tech (ICT n CS)-IV,SC435,Introduction to Complex Network,3-0-0-3,MT
2TUE,H3,03-2,B Tech (MnC)-II,HM216,"Science, Technology, Society",3-0-0-3,SJ
2TUE,H3,04-2,M Tech (ICT)-II,PC506,Technical Writing,1-0-0-1,SKS
2TUE,H3,05-2,M Tech (EC-CRR)-II,PC511,Communication Skills and Technical Writing,1-0-0-1,SKS
2TUE,H3,06-1,MSc (IT)-I,IT623,Algorithms and Data Structures,3-0-2-4,PS
2TUE,H3,06-2,MSc (IT)-II,IT627,Cloud Computing,3-0-2-4,LS
2TUE,H3,07-1,MSc (DS)-I,SC613,Mathematical Foundation for Data Science,3-1-0-4,BC
2TUE,H3,07-2,MSc (DS)-II,IT627,Cloud Computing,3-0-2-4,LS
3WED,H1,01-1,B Tech (ICT n CS)-I,IC101,Introduction to ICT,1-0-2-2,AKR
3WED,H1,01-1,B Tech (ICT n CS)-I,IC101,Introduction to ICT,1-0-2-2,VSP
3WED,H1,01-1,B Tech (ICT n CS)-I,IT112,Introduction to Programming,3-0-0-3,BG
3WED,H1,01-1,B Tech (ICT n CS)-I,IT112,Introduction to Programming,3-0-0-3,MK
3WED,H1,01-2,B Tech (ICT n CS)-II,IT209,Computer Organization,3-0-3-4.5,ARB
3WED,H1,01-3,B Tech (ICT n CS)-III,IT304,Computer Networks,3-0-3-4.5,PKS
3WED,H1,01-4,B Tech (CS) -IV,CS407,Computational and Systems Biology,3-0-2-4,Gbaglar
3WED,H1,01-4,B Tech (ICT n CS)-IV,EL421,Introduction to VLSI Circuits,3-0-2-4,AK
3WED,H1,01-4,B Tech (ICT n CS)-IV,EL453,Nanoelectronics,3-0-0-3,RP
3WED,H1,01-4,B Tech (ICT n CS)-IV,IT412,Natural Language Processing,3-0-2-4,PM
3WED,H1,03-1,B Tech (MnC)-I,MC114,Digital Logic Design,1-0-2-2,PK
3WED,H1,03-2,B Tech (MnC)-II,MC212,Database Management System,3-0-2-4,AKM
3WED,H1,04-1,M Tech (ICT)-I,EL510,Introduction to Embedded Systems,3-0-2-4,TKM
3WED,H1,04-1,M Tech (ICT)-I,IT511,Introduction to Machine Learning,3-0-2-4,PA
3WED,H1,04-1,M Tech (ICT)-I,IT580,Advanced Algorithm,3-0-0-3,AT2
3WED,H1,04-1,M Tech (ICT)-I,SC505,Linear Algebra and Optimization,3-0-0-3,AT
3WED,H1,04-2,M Tech (ICT)-II,EL519,Lowpower VLSI Design,2-0-2-3,BM
3WED,H1,04-2,M Tech (ICT)-II,IT412,Natural Language Processing,3-0-2-4,PM
3WED,H1,05-1,M Tech (EC-CRR)-I,IT511,Introduction to Machine Learning,3-0-2-4,PA
3WED,H1,05-2,M Tech (EC-CRR)-II,IT412,Natural Language Processing,3-0-2-4,PM
3WED,H1,06-1,MSc (IT)-I,SC612,Discrete Mathematics,3-1-0-4,RM
3WED,H1,06-2,MSc (IT)-II,IT618,Enterprise Computing,3-0-2-4,PMJ
3WED,H1,07-1,MSc (DS)-I,IT605,Data Structures and Algorithms (with Python),3-0-2-4,GG
3WED,H1,07-2,MSc (DS)-II,IT642,Interactive Data Visualization,3-0-2-4,PK
3WED,H2,01-1,B Tech (ICT n CS)-I,SC107,Calculus,3-1-0-4,NKS
